date,season,playoff,team1,team2,elo1_pre,elo2_pre
1980-11-12,1981,,BOS,WSB,1640.8279,1476.3624
1980-11-12,1981,,DET,MIL,1297.0365,1632.9698
1980-11-12,1981,,GSW,KCK,1451.8318,1510.4222
1980-11-12,1981,,HOU,LAL,1456.4172,1696.6663
1980-11-12,1981,,NJN,DEN,1427.3794,1439.9454
1980-11-12,1981,,PHI,NYK,1690.8469,1532.9453
1980-11-12,1981,,PHO,SAS,1656.174,1554.1265
1980-11-12,1981,,SEA,UTA,1526.9033,1442.7179
1980-11-13,1981,,CLE,ATL,1431.7446,1474.3596
1980-11-13,1981,,IND,PHI,1505.0999,1666.9415
1980-11-13,1981,,SDC,SAS,1415.0417,1551.8346
1980-11-14,1981,,BOS,NJN,1643.3153,1433.3042
1980-11-14,1981,,DAL,POR,1243.7351,1455.4384
1980-11-14,1981,,DET,CHI,1290.6281,1433.6454
1980-11-14,1981,,IND,WSB,1489.1954,1473.875
1980-11-14,1981,,LAL,SDC,1687.9568,1408.3226
1980-11-14,1981,,MIL,NYK,1639.3783,1556.8507
1980-11-14,1981,,SEA,KCK,1511.0854,1501.5691
1980-11-14,1981,,UTA,HOU,1458.5358,1465.1267
1980-11-15,1981,,ATL,WSB,1469.8893,1467.4166
1980-11-15,1981,,DEN,POR,1434.0206,1443.3281
1980-11-15,1981,,GSW,PHO,1460.6849,1658.4658
1980-11-15,1981,,NYK,CLE,1549.7031,1436.215
1980-11-15,1981,,PHI,NJN,1682.8459,1429.0145
1980-11-15,1981,,SAS,UTA,1558.5537,1461.8512
1980-11-15,1981,,SDC,KCK,1406.4227,1498.4822
1980-11-15,1981,,SEA,HOU,1514.1724,1461.8113
1980-11-16,1981,,LAL,DAL,1689.8567,1255.8453
1980-11-16,1981,,MIL,CHI,1646.5259,1423.8595
1980-11-16,1981,,NJN,DET,1427.5013,1300.4139
1980-11-16,1981,,PHO,POR,1643.244,1439.973
1980-11-18,1981,,ATL,SAS,1453.5803,1564.4751
1980-11-18,1981,,CHI,BOS,1441.8917,1647.605
1980-11-18,1981,,CLE,SDC,1433.4937,1401.4489
1980-11-18,1981,,DAL,PHO,1255.2831,1646.0267
1980-11-18,1981,,DET,IND,1296.9056,1495.6538
1980-11-18,1981,,HOU,SEA,1458.499,1517.4846
1980-11-18,1981,,LAL,KCK,1690.4189,1503.4561
1980-11-18,1981,,NYK,PHI,1552.4244,1684.3591
1980-11-18,1981,,POR,DEN,1437.1903,1437.3757
1980-11-18,1981,,UTA,MIL,1455.9298,1628.4937
1980-11-18,1981,,WSB,GSW,1483.7256,1475.9067
1980-11-19,1981,,IND,BOS,1500.3706,1650.2316
1980-11-19,1981,,NJN,SAS,1431.0096,1557.8951
1980-11-19,1981,,PHI,GSW,1695.7509,1486.9144
1980-11-20,1981,,CLE,HOU,1439.4749,1472.4954
1980-11-20,1981,,DET,SDC,1292.1888,1395.4677
1980-11-20,1981,,PHO,LAL,1648.8486,1693.6248
